timestamp,system,M,size,build_ef,graph,k,search_ef,recall,qps_t,hop,dist,thread
2024-08-01 18:18:15.234,hnsw_pickle,32,1M,500,bigann,1,500,100.0,266,506.0,11988.5,48
2024-08-01 18:18:15.305,hnsw_pickle,32,1M,500,bigann,10,10,86.9,5788,17.9,734.4,48
2024-08-01 18:18:15.415,hnsw_pickle,32,1M,500,bigann,10,20,94.3,3718,27.4,1102.0,48
2024-08-01 18:18:15.561,hnsw_pickle,32,1M,500,bigann,10,30,97.0,2750,37.0,1448.5,48
2024-08-01 18:18:15.780,hnsw_pickle,32,1M,500,bigann,10,50,98.9,1829,56.7,2093.5,48
2024-08-01 18:18:16.067,hnsw_pickle,32,1M,500,bigann,10,70,99.4,1391,76.5,2692.9,48
2024-08-01 18:18:16.419,hnsw_pickle,32,1M,500,bigann,10,90,99.7,1135,96.4,3256.8,48
2024-08-01 18:18:16.804,hnsw_pickle,32,1M,500,bigann,10,100,99.8,1030,106.4,3529.3,48
2024-08-01 18:18:17.492,hnsw_pickle,32,1M,500,bigann,10,200,100.0,577,206.1,5990.2,48
2024-08-01 18:18:18.458,hnsw_pickle,32,1M,500,bigann,10,300,100.0,410,306.1,8155.7,48
2024-08-01 18:18:19.697,hnsw_pickle,32,1M,500,bigann,10,400,100.0,320,406.0,10137.1,48
2024-08-01 18:18:21.191,hnsw_pickle,32,1M,500,bigann,10,500,100.0,265,506.0,11988.5,48
2024-08-01 18:18:21.613,hnsw_pickle,32,1M,500,bigann,100,100,98.4,1034,106.4,3529.3,48
2024-08-01 18:18:22.354,hnsw_pickle,32,1M,500,bigann,100,200,99.7,569,206.1,5990.2,48
2024-08-01 18:18:23.375,hnsw_pickle,32,1M,500,bigann,100,300,99.9,406,306.1,8155.7,48
2024-08-01 18:18:24.661,hnsw_pickle,32,1M,500,bigann,100,400,100.0,317,406.0,10137.1,48
2024-08-01 18:18:26.217,hnsw_pickle,32,1M,500,bigann,100,500,100.0,262,506.0,11988.5,48
2024-08-01 17:34:51.437,hnsw_pickle,32,10M,100,bigann,1,1,40.0,9293,9.7,361.7,48
2024-08-01 17:34:51.509,hnsw_pickle,32,10M,100,bigann,1,5,74.0,5899,14.8,624.8,48
2024-08-01 17:34:51.606,hnsw_pickle,32,10M,100,bigann,1,10,85.4,4175,19.7,859.4,48
2024-08-01 17:34:51.751,hnsw_pickle,32,10M,100,bigann,1,20,93.3,2806,29.2,1274.8,48
2024-08-01 17:34:51.941,hnsw_pickle,32,10M,100,bigann,1,30,96.0,2114,38.8,1664.7,48
2024-08-01 17:34:52.222,hnsw_pickle,32,10M,100,bigann,1,50,98.3,1427,58.3,2406.7,48
2024-08-01 17:34:52.589,hnsw_pickle,32,10M,100,bigann,1,70,99.0,1098,78.1,3110.3,48
2024-08-01 17:34:53.038,hnsw_pickle,32,10M,100,bigann,1,90,99.4,890,97.9,3783.5,48
2024-08-01 17:34:53.534,hnsw_pickle,32,10M,100,bigann,1,100,99.4,808,107.9,4111.2,48
2024-08-01 17:34:54.434,hnsw_pickle,32,10M,100,bigann,1,200,99.9,439,207.6,7141.6,48
2024-08-01 17:34:55.720,hnsw_pickle,32,10M,100,bigann,1,300,99.9,308,307.5,9882.0,48
2024-08-01 17:34:57.367,hnsw_pickle,32,10M,100,bigann,1,400,100.0,238,407.4,12439.7,48
2024-08-01 17:34:59.357,hnsw_pickle,32,10M,100,bigann,1,500,100.0,199,507.3,14864.8,48
2024-08-01 17:34:59.455,hnsw_pickle,32,10M,100,bigann,10,10,78.7,4103,19.7,859.4,48
2024-08-01 17:34:59.597,hnsw_pickle,32,10M,100,bigann,10,20,88.6,2904,29.2,1274.8,48
2024-08-01 17:34:59.785,hnsw_pickle,32,10M,100,bigann,10,30,92.8,2145,38.8,1664.7,48
2024-08-01 17:35:00.061,hnsw_pickle,32,10M,100,bigann,10,50,96.4,1452,58.3,2406.7,48
2024-08-01 17:35:00.422,hnsw_pickle,32,10M,100,bigann,10,70,97.8,1100,78.1,3110.3,48
2024-08-01 17:35:00.869,hnsw_pickle,32,10M,100,bigann,10,90,98.5,893,97.9,3783.5,48
2024-08-01 17:35:01.354,hnsw_pickle,32,10M,100,bigann,10,100,98.8,825,107.9,4111.2,48
2024-08-01 17:35:02.235,hnsw_pickle,32,10M,100,bigann,10,200,99.7,449,207.6,7141.6,48
2024-08-01 17:35:03.502,hnsw_pickle,32,10M,100,bigann,10,300,99.8,313,307.5,9882.0,48
2024-08-01 17:35:05.126,hnsw_pickle,32,10M,100,bigann,10,400,99.9,245,407.4,12439.7,48
2024-08-01 17:35:07.104,hnsw_pickle,32,10M,100,bigann,10,500,99.9,199,507.3,14864.8,48
2024-08-01 17:35:07.637,hnsw_pickle,32,10M,100,bigann,100,100,95.3,823,107.9,4111.2,48
2024-08-01 17:35:08.559,hnsw_pickle,32,10M,100,bigann,100,200,98.4,451,207.6,7141.6,48
2024-08-01 17:35:09.862,hnsw_pickle,32,10M,100,bigann,100,300,99.2,315,307.5,9882.0,48
2024-08-01 17:35:11.532,hnsw_pickle,32,10M,100,bigann,100,400,99.6,245,407.4,12439.7,48
2024-08-01 17:35:13.556,hnsw_pickle,32,10M,100,bigann,100,500,99.7,200,507.3,14864.8,48
2024-08-01 18:13:54.221,hnsw_pickle,32,10M,300,bigann,1,1,40.8,3080,9.8,367.3,48
